original_image,corrected_image,label
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_10_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_10.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_10_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_10_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_11_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_10_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_11_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_10_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_11_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_10_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_11_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_12.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_11_9.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_12_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_12_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_12_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_12_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_12_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_12_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_12_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_13_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_14.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_14_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_14_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_14_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_14_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_14_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04uncorrected/page_14_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/04corrected/page_14_6.jpg,0
