original_image,corrected_image,label
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/.DS_Store,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_10.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_11.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_11_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_12.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_13.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_13.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_13_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_15.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_11.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_15_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_12.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_17.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_13.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_12.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_14.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_13.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_17.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_14.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_18.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_15.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_19.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_17.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_18.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_20.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_19.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03uncorrected/page_1_21.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/03corrected/page_1_20.jpg,0
