original_image,corrected_image,label
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/.DS_Store,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_13.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_5.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_10_9.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_12.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_12_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawuncorrected/page_12_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/01Schraubedrawcorrected/page_11_9.jpg,0
