file_id,row_number,x_center,y_center,width,height,annotation_text
59,1,0.530834,0.878743,0.842805,0.185201,9 Vollständig und korrekt-1
59,2,0.573156,0.731822,0.446191,0.111206,"8 Gegebene Schraffur korrekt fortgesetzt, schmale Volllinie, Schraffur jeweils bis Köperkante-Sicher"
59,3,0.523277,0.43905,0.259371,0.212575,"7.1 Schraube: Körperkante breit, Gewindekern schmal-7.1 Ende Gewinde: umlaufende Körperkante-7.2 Gewindereserve: Grundloch breit, Kern schmal-7.2 Ende Gewinde: umlaufende Körperkante-Sicher"
59,4,0.51451,0.736313,0.143894,0.050043,6 Winkel Bohrerspitze = 118°.
59,5,0.516626,0.686912,0.218259,0.06929,Sicher
59,6,0.545647,0.631523,0.30653,0.080838,"6 e1= 22...22,4...23 mm-Sicher"
59,7,0.531137,0.407399,0.30653,0.206587,5 X =3*P = 15 mm-Sicher
59,8,0.525091,0.315227,0.524184,0.05988,4 zwei Fasen 2x45® (umlaufende Kanten!)-Sicher
59,9,0.50393,0.235244,0.387545,0.173653,3 Außendurchmesser korrekt (d2 = 120 mm)
59,10,0.528718,0.33148,0.41052,0.110351,Sicher
59,11,0.513603,0.377246,0.48549,0.520958,"2.2 Sechskant mit Strichlinie oder nicht dargestellt, Außenkante des Schraubenkopfs gerundet oder gefast"
