file_id,row_number,x_center,y_center,width,height,annotation_text
67,1,0.479444,0.799401,0.756953,0.160821,9 Vollständig und korrekt-1
67,2,0.455865,0.494867,0.466747,0.418306,"8 Gegebene Schraffur korrekt fortgesetzt, schmale Volllinie, Schraffur jeweils bis Köperkante-Sicher"
67,3,0.457981,0.450171,0.262999,0.288708,"7.1 Schraube: Körperkante breit, Gewindekern schmal-7.1 Ende Gewinde: umlaufende Körperkante-7.2 Gewindereserve: Grundloch breit, Kern schmal-7.2 Ende Gewinde: umlaufende Körperkante-Sicher"
67,4,0.468259,0.604577,0.194075,0.046621,6 Winkel Bohrerspitze = 118°.
67,5,0.472189,0.547476,0.241838,0.047049,Sicher
67,6,0.469468,0.370402,0.272672,0.172797,5 X =3*P = 15 mm-Sicher
67,7,0.471886,0.288708,0.568924,0.082121,4 zwei Fasen 2x45® (umlaufende Kanten!)-Sicher
67,8,0.491536,0.286356,0.403869,0.086826,3 Außendurchmesser korrekt (d2 = 120 mm)
67,9,0.464027,0.340034,0.376663,0.443114,Sicher
67,10,0.479746,0.314157,0.26179,0.047476,"2.1 Tangentialer Übergang, Höhe k = 40 mm (‡ 1 mm)-Sicher"
67,11,0.479746,0.316082,0.266626,0.118905,1 Länge | = 80 mm-Sicher
