file_id,row_number,x_center,y_center,width,height,annotation_text
1,1,0.515079,0.88725,0.825908,0.1855,9 Vollständig und korrekt-1
1,2,0.488691,0.50925,0.152159,0.2695,"7.1 Schraube: Körperkante breit, Gewindekern schmal-7.1 Ende Gewinde: umlaufende Körperkante-7.2 Gewindereserve: Grundloch breit, Kern schmal-7.2 Ende Gewinde: umlaufende Körperkante-Sicher"
1,3,0.490404,0.653,0.17889,0.075,"6 e1= 22...22,4...23 mm-6 Fase max. 1x45°"
1,4,0.494174,0.607,0.161755,0.107,6 Winkel Bohrerspitze = 118°.
1,5,0.504798,0.46225,0.206306,0.0925,Sicher
1,6,0.510966,0.39275,0.177519,0.0245,5 X =3*P = 15 mm-Sicher
1,7,0.510281,0.386,0.329678,0.048,4 Durchgangsloch: Durchmesser db = 48 mm-Sicher
1,8,0.497601,0.34675,0.246744,0.0615,4 zwei Fasen 2x45® (umlaufende Kanten!)-Sicher
1,9,0.500343,0.4235,0.123372,0.027,3 Außendurchmesser korrekt (d2 = 120 mm)
1,10,0.497258,0.40375,0.130912,0.0465,Sicher
